Version date: ,,11/17/2022,,,,,,,,,
,Age Group,,,,,,,,,,Grand Total
Vaccination Status (reached 14 days),<3 ~,3 to 11,12 to 19,20 to 29,30 to 39,40 to 49,50 to 59,60 to 69,70 to 79,80,
End-2021 resident population,123600,502600,447300,771900,1094500,1160300,1191300,1122100,591300,398200,7403100
Population ever vaccinated (a+b+c+d),19638,444381,464288,809854,1128700,1190269,1177503,1013701,497243,285776,7031353
Overall vaccination rate,15.89%,88.42%,103.80%,104.92%,103.12%,102.58%,98.84%,90.34%,84.09%,71.77%,
1 Dose - Overall (a),7358,56099,11741,11133,14576,9575,8894,11208,8378,11000,149962
1 Dose - Rate,5.95%,11.16%,2.62%,1.44%,1.33%,0.83%,0.75%,1.00%,1.42%,2.76%,
2 Doses - Overall (b),12170,231231,104697,164826,195534,147909,119794,103537,54644,44023,1178365
2 Dose - Rate,9.85%,46.01%,23.41%,21.35%,17.87%,12.75%,10.06%,9.23%,9.24%,11.06%,
3 Doses - Overall (c),110,157015,345450,616125,879566,964628,930561,730126,343673,193231,5160485
3 Dose - Rate,0.09%,31.24%,77.23%,79.82%,80.36%,83.14%,78.11%,65.07%,58.12%,48.53%,
4 Doses - Overall (d),0,36,2400,17770,39024,68157,118254,168830,90548,37522,542541
4 Dose - Rate,0.00%,0.01%,0.54%,2.30%,3.57%,5.87%,9.93%,15.05%,15.31%,9.42%,
