District,SCRN,School English Name,K1 Vacancy Status (Y/N/P),K1 As At Date
CENTRAL AND WESTERN,322270-0001,CARITAS LING YUET SIN KINDERGARTEN,P,04/07/2023
CENTRAL AND WESTERN,565954-0001,CARITAS NURSERY SCHOOL - KENNEDY TOWN,P,04/07/2023
CENTRAL AND WESTERN,320544-0001,CARITAS ST FRANCIS KINDERGARTEN,N,04/07/2023
CENTRAL AND WESTERN,215929-0002,CHERISH ENGLISH SCHOOL & KINDERGARTEN,Y,04/07/2023
CENTRAL AND WESTERN,564648-0001,CHIU YANG KINDERGARTEN,Y,04/07/2023
CENTRAL AND WESTERN,564850-0001,ELCHK  AMAZING GRACE NURSERY SCHOOL,P,04/07/2023
CENTRAL AND WESTERN,565253-0001,HKSPC THOMAS TAM NURSERY SCHOOL,Y,04/07/2023
CENTRAL AND WESTERN,564435-0001,HKYWCA TAI HON FAN NURSERY SCHOOL,Y,04/07/2023
CENTRAL AND WESTERN,536911-0001,HONG KONG TRUE LIGHT KG (CAINE ROAD),P,04/07/2023
CENTRAL AND WESTERN,512273-0002,KAU YAN SCHOOL,N,04/07/2023
CENTRAL AND WESTERN,315656-0003,LING YAN SCHOOL,Y,04/07/2023
CENTRAL AND WESTERN,513423-0001,RHENISH MISSION SCHOOL,Y,04/07/2023
CENTRAL AND WESTERN,325970-0001,SACRED HEART CANOSSIAN KINDERGARTEN,P,04/07/2023
CENTRAL AND WESTERN,564354-0001,SJS BELCHER KG,N,04/07/2023
CENTRAL AND WESTERN,213632-0002,ST ANTHONY'S ANGLO-CHINESE PRI SCH & KG,P,04/07/2023
CENTRAL AND WESTERN,210021-0001,ST CLARE'S PRIMARY SCHOOL,Y,04/07/2023
CENTRAL AND WESTERN,319813-0001,ST MATTHEW'S CHURCH KINDERGARTEN,Y,04/07/2023
CENTRAL AND WESTERN,131466-0001,ST PAUL'S CHURCH KINDERGARTEN,P,04/07/2023
CENTRAL AND WESTERN,131440-0001,ST STEPHEN'S CHURCH PRI SCH & KG,Y,04/07/2023
CENTRAL AND WESTERN,132896-0001,ST STEPHEN'S GIRLS' COLLEGE KINDERGARTEN,N,04/07/2023
CENTRAL AND WESTERN,552739-0001,SUN ISLAND ENGLISH KG (BELCHER BRANCH),Y,04/07/2023
CENTRAL AND WESTERN,214248-0001,WISELY KINDERGARTEN,Y,04/07/2023
CENTRAL AND WESTERN,563692-0001,WOMEN'S WELFARE CLUB W-DIST HK KG,Y,04/07/2023
CENTRAL AND WESTERN,565440-0001,YAN CHAI HOSPITAL FONG KONG FAI KG,P,04/07/2023
CENTRAL AND WESTERN,563439-0001,YAN CHAI HOSPITAL KWOK CHI LEUNG KG,Y,04/07/2023
WAN CHAI,563447-0001,BGCAHK CHEERLAND KINDERGARTEN (WANCHAI),Y,04/07/2023
WAN CHAI,133280-0001,CCC WANCHAI CHURCH KINDERGARTEN,Y,04/07/2023
WAN CHAI,565385-0001,HKCS TIMES NURSERY SCHOOL,Y,04/07/2023
WAN CHAI,133744-0001,HONG KONG LING LIANG CHURCH KG,P,04/07/2023
WAN CHAI,323853-0002,KHALSA DIWAN KINDERGARTEN,Y,04/07/2023
WAN CHAI,600334-0002,MASS INTERNATIONAL PRESCHOOL,Y,04/07/2023
WAN CHAI,518247-0001,MUSLIM COMMUNITY KINDERGARTEN,Y,04/07/2023
WAN CHAI,324922-0001,OI KWAN RD BAPT CH LUI KWOK PAT FONG KG,Y,04/07/2023
WAN CHAI,563641-0001,PLK CHU LEE YUET WAH KINDERGARTEN,N,04/07/2023
WAN CHAI,323896-0001,PLK VICWOOD CHONG KEE TING KINDERGARTEN,Y,04/07/2023
WAN CHAI,133019-0001,PRECIOUS BLOOD KINDERGARTEN,Y,04/07/2023
WAN CHAI,567531-0001,ROSARYHILL KINDERGARTEN,Y,04/07/2023
WAN CHAI,564346-0001,SJS CAUSEWAY BAY KG,N,04/07/2023
WAN CHAI,564338-0003,SJS KATHLEEN MCDOUALL KG,Y,04/07/2023
WAN CHAI,569712-0001,SKH ST CHRISTOPHER'S NURSERY(WAN CHAI),Y,04/07/2023
WAN CHAI,325368-0001,ST MARGARET MARY'S CATHOLIC KINDERGARTEN,N,04/07/2023
WAN CHAI,614920-0001,TWGHS MR. & MRS.LEE YIN YEE NURSERY SCH,N,04/07/2023
EASTERN,311910-0001,BAPTIST PUI LI SCHOOL,Y,04/07/2023
EASTERN,566101-0001,BO BO NURSERY SCHOOL,P,04/07/2023
EASTERN,216135-0001,C&MA SCHOLARS' ANGLO-CHINESE KG,Y,04/07/2023
EASTERN,325996-0001,CANNAN KINDERGARTEN (SIU SAI WAN),Y,04/07/2023
EASTERN,566039-0001,CARITAS LIONS CLUB HK(PACIFIC) NUR SCH,P,04/07/2023
EASTERN,566152-0001,CCC CHAI WAN CHURCH DN,Y,04/07/2023
EASTERN,520144-0001,CHING CHUNG HING TUNG KINDERGARTEN,N,04/07/2023
EASTERN,215830-0001,CREATIVE KINDERGARTEN (HENG FA CHUEN),Y,04/07/2023
EASTERN,325597-0001,CWBC PRE-SCH EDUCATON LUI MING CHOI KG,Y,04/07/2023
EASTERN,578126-0001,CWBC PRESCH EDU LUI MING CHOI KG(SIU S W,Y,04/07/2023
EASTERN,324230-0001,DOMINIC SAVIO KINDERGARTEN,Y,04/07/2023
EASTERN,324230-0002,DOMINIC SAVIO KINDERGARTEN,Y,04/07/2023
EASTERN,564800-0001,ELCHK  HING WAH NURSERY SCHOOL,Y,04/07/2023
