school_no,location_no,school_name,district,joining_kg_edu_scheme,received_grant_for_support_to_ncs_students,application_date_from,application_date_to,application_form_type,application_period_type,address,school_category,student_category,tel,fax,name_of_school_supervisor,title_of_school_supervisor,name_of_school_principal,title_of_school_principal,no_of_registered_classrooms,no_of_registered_classrooms_remarks,outdoor_playground,indoor_playground,music_room,other_special_rooms_or_areas,school_founding_year,school_founding_year_remarks,school_website,working_hd_30000_or_below,working_hd_30001_to_40000,working_hd_40000_above,working_hd_remarks,working_wd_30000_or_below,working_wd_30001_to_40000,working_wd_40000_above,working_wd_remarks,working_exp_of_principal_and_teaching_staff_below_4_yrs,working_exp_of_principal_and_teaching_staff_from_4_to_7_yrs,working_exp_of_principal_and_teaching_staff_above_7_yrs,working_exp_of_principal_and_teaching_staff_remarks,summer_uniform,winter_uniform,school_bag,tea_and_snacks,textbooks,exercise_books_or_workbooks,stationery,bedding_items,salary_of_principal_and_teaching_staff,non-teaching_staff_salary,rent_management_fees_rates_and_government_rent,teaching_resources,staff_training_and_professional_development,other_expenses,expenditure_information_remarks,expenditure_information_based_on_audited_account,curriculum_type,curriculum_planning,learning_or_teaching_approach_and_activities,assessment_of_children_learning_experiences,school_vision_and_mission,support_to_students,parent_teacher_association,other_activities_or_communication_with_parents,support_to_non-chinese_speaking_ncs_students,support_to_students_with_special_needs,nursery_classes_not_writing,total_no_of_permitted_accommodationof_classrooms_in_use,no_of_students_in_nursery_am,no_of_students_in_lkg_am,no_of_students_ukg_am,no_of_students_in_nursery_pm,no_of_students_in_lkg_pm,no_of_students_ukg_pm,no_of_students_in_nursery_wd,no_of_students_in_lkg_wd,no_of_students_in_ukg_wd,teacher_to_pupil_ratio_in_morning_session,teacher_to_pupil_ratio_in_afternoon_session,teacher_to_pupil_ratio_remarks,no_of_principal_and_teaching_staff_with_degree,no_of_principal_and_teaching_staff_with_non_degree,no_of_principal_and_teaching_staff_with_c_ece_or_above,no_of_principal_and_teaching_staff_with_qualified_kg_teachers,no_of_principal_and_teaching_staff_with_other_teacher_trainings,no_of_principal_and_teaching_staff_with_qualified_assistant_kg_teachers,no_of_principal_and_teaching_staff_others,total_no_of_principal_and_teaching_staff,fees_certificate,quality_review_result_and_report_chi ,quality_review_result_and_report_eng ,child_care_service_for_aged_under_2,child_care_service_for_aged_2_to_3,no_for_enrolment_aged_2_to_3,cc_service_fee_level_annum_hd,cc_service_fee_level_annum_wd,join_ccc_subsidy_scheme,provide_occasional_cc_service,provide_extended_hour_service,other_approved_fees_application_fee,other_approved_fees_registration_fee_hd,no_hd_session_remarks,other_approved_fees_registration_fee_wd,no_wd_session_remarks
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131440,1,ST. STEPHEN'S CHURCH PRIMARY SCHOOL & KINDERGARTEN,Central & Western,Joining,Y,,,refer to the school website,refer to the school website,"PRIMARY BLOCK & G/F LG1/F & LG2/F & ACTIVITY ROOM AT LG3/F CHURCH BLOCK, 71 BONHAM ROAD, & 62 POKFULAM ROAD, HONG KONG",Non-profit-making,Co-educational,2546 2863,2546 2826,MAK WAI LUN,MR,WAN PUI YIM,MS,9,,Yes,Yes,Yes,"Dance room, Activity room, Hall and Chapel",1950,,http://www.ssck.edu.hk,,,,No teaching staff,80%,10%,10%,,40%,10%,50%,,$115-200 / set,$175-315 / set,$169 / each,$2000 / year,$1237-1299 / year,$80-205 / year,$270 / year,No such item,57%,22%,0%,1%,<1%,20%,,Yes,Local,"According to the curriculum guide of  ""Hong Kong Bureau of Education"", the integrated curriculum is implemented by adopting real-life themes to help children to connect the learning content with their lives. Meanwhile, our English and Mandarin lessons are conducted by the native English speaking teacher and the native Mandarin speaking teacher respectively. We will follow the ""Kindergarten Education Curriculum Guide"" (2017) to plan curriculum. Children of nursery classes will not be asked to write, and there will not be mechanical copying exercises and drills on calculation.","St. Stephen’s Church Kindergarten fosters a student-centered approach to teaching and learning experiences using the HighScope approach and project-based activities. Students are encouraged to learn through exploration, observation, tailored lessons and draw on life experience with an aim to develop self-care and problem solving skills. ",Regular formal and informal assessments provide continual feedback used to improve teaching practices. Student progress is delivered to parents twice yearly in semester reports. ,"Guided by Christian faith, students at St. Stephen’s Church Kindergarten and Nursery grow in the spirit of love, building an understanding of their morality as well as developing gross motor, emotional and social skills in a safe, friendly environment. ","In addition to the daily curriculum, Saint Stephen’s Church Kindergarten offers numerous extra-curricular activities and events for students and their families throughout the school year. These activities include; nursery and first grade orientation activities, an in-school nurse, community events, birthday party, barbecue, hotpot activities, simulated Lunar New Year flower market, graduation ceremony and visiting to police station, supermarket, Sunshine Paradise etc.",No,"St. Stephen’s Church Kindergarten hosts several whole-family events that focus on parent engagement. These events include New Year celebrations, Game Day, Student orientation meetings, Open Day, Information Day, parent-student excursions, Parent Observation weeks, Family in-school visits, Parent’s Communion and Parent-Volunteer Working Bees.",Received Grant for Support to NCS Students; appoint additional teaching staff / teaching assistants to support NCS students learning Chinese; arrange interpretation/translation services; create an enriched language environment for mastery of the Chinese language; create an inclusive learning environment to facilitate students' integration; facilitate professional development for teachers to develop effective strategies to help NCS students learn Chinese. ,Joining the On-site Pre-school Rehabilitation Services. ,Y,218,30,29,32,25,27,77,0,0,0,1:8.1,1:7.1,Yes,16,0,16,0,0,0,0,16,http://applications.edb.gov.hk/schoolsearch/schoolfee/131440.pdf,Meeting the prescribed standards https://www.edb.gov.hk/attachment/tc/edu-system/preprimary-kindergarten/quality-assurance-framework/qr/qr-report/StStephen'sCh_PriSch_KG.pdf,Report Not Available,No,Yes,76,"$50,770",-,No,No,No,$40,$970,,,No whole-day session
131466,1,ST. PAUL'S CHURCH KINDERGARTEN,Central & Western,Joining,N,,,not available,not available,"WU TING FONG & SOCIAL ROOM, ST. PAUL'S CHURCH GLENEALY, HONG KONG",Non-profit-making,Co-educational,2453 3766,2673 5138,PANG PUI KONG,MR,LAW SHUK MAN GLORIA,MS,5,,Yes,No,Yes,"Multimedia room, Variety Performance Stage",1950,,http://www.stpaulchurchkg.edu.hk,,,,No teaching staff,43%,43%,14%,,22%,7%,71%,,$208-216 / set,$323-604 / set,$43 / each,$1000 / year,$1342-1524 / year,$204 / year,$258-342 / year,No such item,33%,11%,<1%,12%,1%,43%,,Yes,Local,"Based on the mental and physical development of children, we arranges differential learning experiences from simple to difficult. We also based on the learning interest of children to extend learning activities by using project approach in order to promote their tendency of self-learning ang their spirit or exploration. We will follow the ""Kindergarten Education Curriculum Guide"" (2017) to plan curriculum. Children of nursery classes will not be asked to write, and there will not be mechanical copying exercises and drills on calculation.",Our kindergarten carries out an integrated curriculum and adopts an activity based approach. Our kindergarten provides diversified activities to the children through field trips and makes them to acquire learning experiences first hand in order to apply it to their daily life.,"By using continuous observation and recoding to assess the various aspects of children's development, and we offer until evaluation report for all the Unit Theme . Each semester will have a summative evaluation report. ","Based on Christian educational values, our kindergarten aims to nurture each child to get all round development on ethics, intellect, physique, social skills, aesthetics and spiritual aspects, making them ready for future life, inspiring their learning interest and cultivating positive learning attitude, promoting them to constantly study, think, explore and innovate to adapt the future world.","To arrange an adaptation period for the new students, parent-child school day, visitation of primary school, being primary one student  activities and sharing from our graduates about primary life.",No,"Hold new student parents’ seminars, parents’ conference, parents' education lectures, parents'  volunteer activities and sharing on parenting experiences.",Arrange interpretation/translation services. ,Joining the On-site Pre-school Rehabilitation Services. ,Y,412,47,22,57,34,36,91,0,0,0,1:9.7,1:7.0,No,8,5,13,0,0,0,0,13,http://applications.edb.gov.hk/schoolsearch/schoolfee/131466.pdf,Meeting the prescribed standards https://www.edb.gov.hk/attachment/tc/edu-system/preprimary-kindergarten/quality-assurance-framework/qr/qr-report/StPaulsCh.pdf,Report Not Available,-,-,0,-,-,-,-,-,$40,$970,,,No whole-day session
132896,1,ST. STEPHEN'S GIRLS' COLLEGE KINDERGARTEN,Central & Western,Joining,N,,,refer to the school website,refer to the school website,"PORTION OF THE GARAGE ON G/F AND WHOLE OF 1/F, 33 PARK ROAD, CENTRAL, HONG KONG",Non-profit-making,Co-educational,2548 6607,2803 0490,CHAU WAI CHU MAGGIE,MISS,CHENG YIM NGOR,MS,3,,Yes,Yes,No,"Reading Corner, Visual Art Room",1906,,http://www.ssgc.edu.hk/kg,,,,No teaching staff,34%,33%,33%,,42%,0%,58%,,$240-380 / set,$770-1142 / set,$141 / each,No such item,$1057-1173 / year,$21-72 / year,$355-404 / year,No such item,72%,23%,1%,<1%,<1%,4%,,Yes,Local,"Our school’s main learning objective is “child-centered”. We teach our children thematically whilst integrating art and music education providing a rich learning environment to stimulate the children’s will to learn actively. We carry out a variety of activities according to their needs and interests. Building a lifelong learning foundation skill, children are exposed to a variety of activities allowing them to fully develop their skills and abilities as a whole child at an early age. The set skills include language and literacy development skills, socio-emotional and moral development skills in nature, art and creativity, cognitive development skills with a focus on early mathematics, and individual/team motor development skills. We will follow the ""Kindergarten Education Curriculum Guide"" (2017) to plan curriculum. Children of nursery classes will not be asked to write, and there will not be mechanical copying exercises and drills on calculation.","Our curriculum is designed based on children’s life experiences and in accordance with their developmental growth through storytelling combining music, visual arts, and other teaching materials, as well as the use of sensory perception to develop their knowledge, skills, and attitude.","To further understand and grasp the children’s developmental growth and learning performance, we use summative assessments in combination of daily observation and a collection of the children’s work.","As a kindergarten embodied with the Christian spirit, we aim to provide quality early childhood education. We strive to provide our students with an engaging learning environment so that they receive complete moral, intellectual, physical, social, and spiritual development and will be well prepared for lifelong learning. We are also committed to helping our students to develop their individual potential, and to become individuals who know how to appreciate themselves, respect others and care about the society.","Children’s learning scope can be broadened through new students’ orientation period, Primary One simulation class activity, school visits to the affiliated primary school, and reading activities led by secondary school students.",Yes,"We arrange Parent’s Day, class observation activities, special lectures, Sports Day, excursions, Games Day, Speech Day, and more. We communicate frequently with parents through the intranet, handbooks, newsletters, and our school’s website. ",Arrange interpretation/translation services; engage NCS parent volunteers to enhance communication between school and parents; create an enriched language environment for mastery of the Chinese language; create an inclusive learning environment to facilitate students' integration; We arrange storytelling sessions to stimulate interest in the Chinese language and help to develop their listening and reading skills.,Joining the On-site Pre-school Rehabilitation Services. The Services helps to provide early identification for children with special needs. ,Y,180,30,60,0,30,0,90,0,0,0,1:7.5,1:7.5,No,10,2,11,0,0,0,1,12,http://applications.edb.gov.hk/schoolsearch/schoolfee/132896.pdf,Meeting the prescribed standards https://www.edb.gov.hk/attachment/tc/edu-system/preprimary-kindergarten/quality-assurance-framework/qr/qr-report/StStephenGirls.pdf,Report Not Available,-,-,0,-,-,-,-,-,$40,$970,,,No whole-day session
210021,1,ST. CLARE'S PRIMARY SCHOOL,Central & Western,Joining,N,,,refer to the school website,refer to the school website,"3-6 PROSPECT PLACE, BONHAM ROAD, HONG KONG",Non-profit-making,Girls,2547 2751,2559 4139,HUANG MEILAN,Sister,LI MAN YAN ELSA,MS,5,,Yes,Yes,Yes,"Library, Chapel, Hall, Playground",1927,,http://scps.edu.hk,,,,No teaching staff,0%,85%,15%,,0%,0%,100%,,$336 / set,$989 / set,$72 / each,$400 / year,$748 / year,$18 / year,No such item,No such item,60%,20%,8%,1%,<1%,11%,,Yes,Local,"According to children's physical and mental development, and by way of applying stories and games, we inspire and develop children's potentials in the six learning areas, i.e. Language, Early Childhood Mathematics, Arts and Creativity, Physical Fitness and Health, Self and Society,Nature and Living. Meanwhile, we use project approach  in accordance to children's learning interests. We will follow the ""Kindergarten Education Curriculum Guide"" (2017) to plan curriculum. Children of nursery classes will not be asked to write, and there will not be mechanical copying exercises and drills on calculation.","Students are provided active explorations, interactive learning, critical thinking, and social development via theme and activity teaching, field visits, project study, and activity design. Through observation, scientific experiments, self-explored analyses, mathematical cognition, shared book reading, English / Mandarin / Cantonese rhymes reading, storytelling, life experience sharing, group activities, and reports during activities, to foster children logical thinking and problem-solving skills are well developed. Enhancing children's interest in language, ethics, emotion, social skills, physique, music, aesthetics and other various domains, enriches children's life experience and self-confidence.Promote""Free Play"" to foster children's Learning Autonomy and creative development . Promote""Moral Education"" to cultivate children a good character with Catholic doctrine through different activities.",Continuous observation and summative assessment objectively record children’s study. We analyze children’s development and learning outcome on every aspect. Establishing children's learning portfolio can also reflect their overall growth.,"The motto of the school is “Veritas Vincit”. We are committed to developing in our students a positive outlook on life and mutual respect and concern for each other. The school, mindful of the values of its foundation, endeavors to cultivate respect for the spiritual and moral beliefs of the Christian tradition and to create a community in which pupils, cared for as individuals, are helped to find fulfillment as they grow towards adulthood.","We hold orientation for new students, parent-observation days, visits, seminars, religious and festival activities and join EDB School-Based Support to promote children's development in different aspect. We also train children’s muscle coordination and develop good exercise habits. Recognition is given to those parents who accompany and guide their children during reading. We arrange K3 students to visit our St. Clare’s Primary School, participate in P1 bridging activities, and three weeks adaptation in-class activities. Teachers are patient to take care of every individual.",Yes,"General activities include Parent’s Day, Storytelling moms and dads, Parent Volunteer Groups, Talk for Parents, Class Observation, Family Picnic, Festival Activities, Graduation ceremonies, etc. Teachers often actively involve in conversations with parents face to face or through telephone calls. We also communicate with parents via students’ handbook, school website, survey questionnaire, student comprehensive development report, PTA, Maple Chimes publication, and mobile phone eClass system.",No information,Joining the On-site Pre-school Rehabilitation Services. ,Y,358,51,31,64,45,31,130,0,0,0,1:9.7,1:8.7,No,13,2,14,0,1,0,0,15,http://applications.edb.gov.hk/schoolsearch/schoolfee/210021.pdf,Meeting the prescribed standards https://www.edb.gov.hk/attachment/tc/edu-system/preprimary-kindergarten/quality-assurance-framework/qr/qr-report/StClare's_PriSch.pdf,Report Not Available,-,-,0,-,-,-,-,-,$40,$970,,,No whole-day session
213632,2,ST ANTHONY'S ANGLO-CHINESE PRIMARY SCHOOL & KINDERGARTEN,Central & Western,Joining,Y,01/06/2022,01/11/2022,refer to the school website,specific application period,"1/F, FU GA BUILDING, 7-13 YAT FU LANE, WESTERN DISTRICT, HONG KONG",Non-profit-making,Co-educational,2494 8848,2467 8877,TSE PUI YAN,MS,CHAN YING NOG,MS,8,,No,Yes,Yes,"S.T.E.M Room, Imaginative Play Space",1965,,https://stanthonyskg.edu.hk/,,,,No teaching staff,82%,9%,9%,,27%,18%,55%,,$245 / set,$575 / set,$165 / each,$1800 / year,$1168 / year,$904 / year,$600 / year,No such item,60%,11%,13%,6%,<1%,10%,,Yes,Local,"Taking children as the center, stressing on autonomous learning, bi-literate and tri-lingual teaching, according to children’s mental and physical development, referring to EDB’s Kindergarten Education Curriculum Guide, the school-based courses are designed. We use elements of 'Gifted Education' to let children construct knowledge through firsthand exploring, experiencing and problem solving to develop high-order thinking techniques, creativity, individual and social abilities. We will follow the ""Kindergarten Education Curriculum Guide"" (2017) to plan curriculum. Children of nursery classes will not be asked to write, and there will not be mechanical copying exercises and drills on calculation.","We arrange diversified corner activities to let the children carry out autonomous learning through playing games. Arrange tours and visits to broaden their learning experience through moral education, and culture their learning attitudes 'exploration,expression,empowering experiment, problem-solving, confidence, high-level thinking, individual and social abilities, and boldness to innovate'. We enrich and extend courses in specialized learning fields to meet the students’ different learning needs.","Through continuous observation and evaluation of children’s learning effectiveness, build children’s file on somatopsychic development and learning progress.","To nurture talented and confident children, so we emphasize on the childrens' development in High-order thinking skills, individual and social abilities. We provide a comfortable and pleasant learning environment for children to enlighten their natural gifts, bring their imagination and creativity into play, and lay down foundation for their admission to ideal primary schools.","Adaptation period, cooperation with community, holding lectures on children's life experience and outing activities. Arrange adaptation and simulation of primary school teaching. Hold part-time interest activities to develop the children's potential.",Yes,"Parent-teacher meetings, parents’ day, parent-child activities, parents’ lectures and seminars, parent-child travel, holiday family gatherings, parent-child home visit elderly activity and volunteer activities, parent-child sports games, parent and elderly volunteers, charity events etc.",Received Grant for Support to NCS Students; arrange interpretation/translation services; engage NCS parent volunteers to enhance communication between school and parents; create an enriched language environment for mastery of the Chinese language; facilitate professional development for teachers to develop effective strategies to help NCS students learn Chinese. ,The school makes a preliminary assessment.Then refers to experts to make a professional assessment.Provide referral service for the needed students.,Y,-,22,14,24,11,7,27,0,3,5,1:7.6,1:3.9,Yes,10,1,11,0,0,0,0,11,http://applications.edb.gov.hk/schoolsearch/schoolfee/213632.pdf,Meeting the prescribed standards https://www.edb.gov.hk/attachment/tc/edu-system/preprimary-kindergarten/quality-assurance-framework/qr/qr-report/StAnthony'sAC_PriSch_KG.pdf,Report Not Available,No,Yes,24,"$43,110",-,No,No,No,$40,$970,,"$1,570",
214248,1,WISELY KINDERGARTEN,Central & Western,Joining,Y,,,refer to the school website,refer to the school website,"1-3 BASEMENTS & G/F, 129-133 CAINE ROAD, CENTRAL, HONG KONG",Non-profit-making,Co-educational,2546 2022,2857 9540,LUK CHIU KWAN HUNG ANGELA,MRS,KWOK PO PING,MS,8,,No,Yes,Yes,沒有 No,1986,,http://www.wisely.edu.hk,100%,0%,0%,,77%,15%,8%,,37%,19%,44%,,$155-180 / set,$260-650 / set,$97 / each,$1900 / year,$1000-1200 / year,$120 / year,No such item,$360 / set,48%,11%,33%,7%,<1%,1%,,Yes,Local,"According to the children’s physical and mental development and demands, a high-quality children education curriculum is provided to educate the children by a pleasant learning method with love and inspiration. We will follow the ""Kindergarten Education Curriculum Guide"" (2017) to plan curriculum. Children of nursery classes will not be asked to write, and there will not be mechanical copying exercises and drills on calculation.","The multiple intelligence elements are integrated into activity, theme and project-based teaching and group activity. Reggio education method is combined with the daily teaching activity through annual field trips according to the teaching themes.","Teachers shall take regular records of children’s performance and progress in all directions. Children’s learning performance is recorded by continuous observation. Besides, biannual parents’ meeting will be held in the campus.","With the philosophy of inspiring loving heart, thinking, potential and creativity, a pleasant learning environment is built to foster children’s confidence through happy learning.",New students’ orientation day is set up in the commence day.A Parents’ lecture is also arranged to help parents learn the integration to school.  The school keeps contacts and cooperate with community organizations.,No,"Parents’ day, parent-child activities, parents-child fieldtrip and lectures are organized.",Received Grant for Support to NCS Students; appoint additional teaching staff / teaching assistants to support NCS students learning Chinese; create an enriched language environment for mastery of the Chinese language; create an inclusive learning environment to facilitate students' integration; collaborate with non-governmental organisations (NGOs) to create an inclusive learning environment; facilitate professional development for teachers to develop effective strategies to help NCS students learn Chinese. ,Joining the On-site Pre-school Rehabilitation Services. ,Y,371,32,46,38,6,5,19,23,22,24,1:11.6,1:6.8,No,8,8,16,0,0,0,0,16,http://applications.edb.gov.hk/schoolsearch/schoolfee/214248.pdf,Meeting the prescribed standards https://www.edb.gov.hk/attachment/tc/edu-system/preprimary-kindergarten/quality-assurance-framework/qr/qr-report/Wisely.pdf,Report Not Available,-,-,0,-,-,-,-,-,$40,$970,,"$1,570",
215724,1,SMALL WORLD CHRISTIAN KINDERGARTEN,Central & Western,Not Joining,N,,,refer to the school website,throughout the year,"G/F - 1/F, 10 BORRETT ROAD, CENTRAL, HONG KONG",Non-profit-making,Co-educational,2525 0922,2530 5448,APPEL TERRI CRYSTAL-GIBBS,MRS,BAGUIO MARIA TERESA J,MRS,6,,Yes,Yes,No information,沒有 No,1986,,http://www.smallworld.edu.hk,,,,No information,,,,No information,,,,No information,$0 / set,$0 / set,No such item,No such item,No such item,No such item,No such item,No such item,-,-,-,-,-,-,No information,No Information,Non-local,"Small World is proud to be an International Early Years Curriculum accredited school! The International Early Years Curriculum is designed for children aged two to five years old. It uses international best practices, holistic enquiry and play-based approaches that cover all curriculum areas including personal, social and emotional development.","At Small World Christian Kindergarten, learning is a joyful, motivating, fun and engaging exploration that opens up a world of wonder for young children where their curiosity and personal interests can flourish. With developmentally appropriate, teacher-scaffolded and child-initiated experiences, each child may develop their knowledge and skills at their own pace, leading to an increasing understanding of themselves, others, God and his creation.  We aim to develop the whole child, using Christ’s development, as summarised in Luke 2:52, as our model: He grew “in wisdom (academically), in stature (physically), in favour with God (spiritually), and in favour with man (socially).”  Play is essential at Small World! We define play as a creative and enjoyable process which takes many forms; it is often free from externally-imposed goals, but can also be purposeful, guided and scaffolded. ","Small World celebrates that learning is a partnership between the school and the family, and we regularly update families regarding their child's participation in classroom activities and any areas where the child may need extra help.","Vision: So the next generation would know God, even the children yet to be born, and they in turn would tell their children. Then they will put their trust in God and will not forget his deeds but will keep his commands. (Psalm 78:6-7)  Mission: To educate the whole child in a nurturing, vibrant and international community. To cultivate individuals of character, compassion, courage and competence. To inspire the next generations to be a global people of Christian faith, a people serving others.","At Small World, children’s well-being is of utmost importance.Through our programme, students develop the personal qualities of enquiry, adaptability, resilience, morality, communication, thoughtfulness, cooperation, and respect. Our aim is to help each child grow in wisdom (academically), in stature (physically), in favour with God (spiritually), and in favour with man (socially), just like Jesus Christ did.  We are blessed to have a growing community of parents, staff and alumni who support Small World’s ethos.",No information,"Small World celebrates that learning is a partnership between the school and the family. The learning that takes place in the classroom is practiced by children in the home, and we offer many ways for families to interact and bolster their child’s learning. There are also many opportunities for parents to volunteer and be involved in the life of Small World.",No information,Joining the On-site Pre-school Rehabilitation Services. ,N,198,69,49,0,12,15,27,0,0,0,1:8.4,1:2.5,No,12,2,10,0,2,0,2,14,http://applications.edb.gov.hk/schoolsearch/schoolfee/215724.pdf,Report Not Available,Report Not Available,-,-,0,-,-,-,-,-,$600,$0,,,No whole-day session
215929,2,CHERISH ENGLISH SCHOOL & KINDERGARTEN,Central & Western,Joining,N,,,refer to the school website,refer to the school website,"SHOP KG01, G/F & M/F, SAI WAN ESTATE, EAST TERRACE, KENNEDY TOWN, HONG KONG",Non-profit-making,Co-educational,2855 0080,2817 4702,NG KWOK FU ALEX,MR,MAK CHUI HUNG MANDY,MS,7,,Yes,No,Yes,Medical room,1988,,http://www.cherish.edu.hk,100%,0%,0%,,73%,27%,0%,,28%,29%,43%,,$301 / set,$747 / set,$125 / each,$880 / year,$997 / year,$506 / year,$330 / year,$368 / set,75%,13%,8%,1%,<1%,3%,,Yes,Local,"The courses are constructed in according to the preschool curriculum guidelines and children’s learning interest and daily life experience. We will follow the ""Kindergarten Education Curriculum Guide"" (2017) to plan curriculum. Children of nursery classes will not be asked to write, and there will not be mechanical copying exercises and drills on calculation.","The school carries out the teaching mode of “story integration activity approach”, “project-based approach” and “inquiry learning” to cultivate children’s learning interest, thinking ability, understanding ability and creative thinking. Meanwhile the school utilizes small group learning, corner learning, and visiting activities and invites professionals to share their educational opinions for facilitating children to construct knowledge.","The “children learning files”, “continuous observation and records” and “unit assessment reports” are used for evaluating children’s development of -language, art, early maths, individual and groups, science and technology, physical ability and health.","Based on the children-centered principle, the school aims to promote children to get balanced development on the moral, intellectual, physical, social and aesthetic aspects.","1. Meetings for parents of new students to help them understand pre-primary preparations of their children. 2. New students adaptation day; progressively adjusted lesson hours are arranged to help students adapt to campus life promptly. 3.Meetings on entrance of primary school are held for parents to hrlp them choose the school.5.Visits to primary school in the districts are arranged to let children experience primary school life. 6. Junior boy scouts are formed to foster team spirit, mutual help and mutual love of children. 7. Social work service scheme aims at providing helps to families in need.",Yes,"To carry out parent-school communication through suggestion box, handbook, letter, telephone and the period of picking up children or make an appointment to meet teachers, principal to enhance the contacts. To hold parents’ meetings, parents’ lectures, parent-child workshops, parent-child sports meetings, parent-child traveling, parent-child design competition and inviting parents volunteers to assist school activities.",Create an inclusive learning environment to facilitate students' integration; facilitate professional development for teachers to develop effective strategies to help NCS students learn Chinese. ,Joining the On-site Pre-school Rehabilitation Services. Sound supporting mechanism for children with special needs' to provide assistance or referral.,Y,111,15,5,11,0,0,0,13,23,22,1:9.3,1:7.1,Yes,7,4,11,0,0,0,0,11,http://applications.edb.gov.hk/schoolsearch/schoolfee/215929.pdf,Meeting the prescribed standards https://www.edb.gov.hk/attachment/tc/edu-system/preprimary-kindergarten/quality-assurance-framework/qr/qr-report/Cherish.pdf,Report Not Available,No,Yes,13,"$49,181","$65,131",No,No,No,$40,$970,,"$1,570",
216186,2,CARMEL SCHOOL,Central & Western,Not Joining,N,,,not available,not available,"3/F & 4/F, 70 ROBINSON ROAD, MID-LEVEL, HONG KONG",Non-profit-making,Co-educational,2249 7600,2249 7690,RAZON SHAY SHLOMO,MR,FRIEDMANN RACHEL,MS,,No information,No information,No information,No information,No information,,No information,http://www.carmel.edu.hk,,,,No information,,,,No information,,,,No information,No information,No information,No information,No information,No information,No information,No information,No information,-,-,-,-,-,-,No information,No Information,Non-local,No information,No information,No information,No information,No information,No information,No information,No information,No information,-,101,20,20,0,0,0,0,0,0,0,1:5.8,1:0.9,Yes,8,4,7,4,0,0,1,12,http://applications.edb.gov.hk/schoolsearch/schoolfee/216186.pdf,Report Not Available,Report Not Available,Yes,Yes,35,"$76,700",-,No,No,No,"$1,000",$0,,,No whole-day session
