Table 1B : Population by Sex and Age,,,,
,,Population,% of total population,
Year,,2022,2022,
Reference time-point,,Mid-year p,Mid-year p,
Sex,Age,,,
Both sexes,0, 3 4600.0,  0.5,
,1, 3 7300.0,  0.5,
,2, 4 4400.0,  0.6,
,3, 4 6600.0,  0.6,
,4, 4 8400.0,  0.7,
,5, 5 1900.0,  0.7,
,6, 5 1800.0,  0.7,
,7, 5 4200.0,  0.7,
,8, 5 3300.0,  0.7,
,9, 5 9600.0,  0.8,
,10, 6 5500.0,  0.9,
,11, 6 4000.0,  0.9,
,12, 5 0400.0,  0.7,
,13, 5 0600.0,  0.7,
,14, 6 0100.0,  0.8,
,15, 5 8300.0,  0.8,
,16, 5 3300.0,  0.7,
,17, 5 0900.0,  0.7,
,18, 4 8400.0,  0.7,
,19, 4 9100.0,  0.7,
,20, 4 8400.0,  0.7,
,21, 5 2700.0,  0.7,
,22, 6 0100.0,  0.8,
,23, 6 1900.0,  0.8,
,24, 6 7000.0,  0.9,
,25, 7 6200.0,  1.0,
,26, 8 2300.0,  1.1,
,27, 8 9200.0,  1.2,
,28, 9 2800.0,  1.3,
,29, 9 2500.0,  1.3,
,30, 9 6300.0,  1.3,
,31, 9 8700.0,  1.4,
,32, 10 1800.0,  1.4,
,33, 10 3900.0,  1.4,
,34, 10 9900.0,  1.5,
,35, 10 5300.0,  1.4,
,36, 11 0900.0,  1.5,
,37, 11 3600.0,  1.6,
,38, 11 1800.0,  1.5,
,39, 11 9100.0,  1.6,
,40, 12 1800.0,  1.7,
,41, 11 9600.0,  1.6,
,42, 11 7700.0,  1.6,
,43, 11 3300.0,  1.6,
,44, 11 1100.0,  1.5,
,45, 11 0900.0,  1.5,
,46, 10 8800.0,  1.5,
,47, 11 0400.0,  1.5,
,48, 11 7000.0,  1.6,
,49, 11 7100.0,  1.6,
,50, 11 7000.0,  1.6,
,51, 11 3700.0,  1.6,
,52, 11 4900.0,  1.6,
,53, 11 2300.0,  1.5,
,54, 11 4700.0,  1.6,
,55, 11 0300.0,  1.5,
,56, 11 2800.0,  1.5,
,57, 12 0100.0,  1.6,
,58, 12 4800.0,  1.7,
,59, 13 3600.0,  1.8,
,60, 13 2100.0,  1.8,
,61, 12 0700.0,  1.7,
,62, 12 5500.0,  1.7,
,63, 11 9400.0,  1.6,
,64, 12 4800.0,  1.7,
,65, 11 7200.0,  1.6,
,66, 10 9900.0,  1.5,
,67, 10 3300.0,  1.4,
,68, 9 8300.0,  1.3,
,69, 8 9100.0,  1.2,
,70, 8 5900.0,  1.2,
,71, 8 1600.0,  1.1,
,72, 7 8800.0,  1.1,
,73, 7 6700.0,  1.1,
,74, 6 7600.0,  0.9,
,75, 5 9900.0,  0.8,
,76, 4 9500.0,  0.7,
,77, 3 7400.0,  0.5,
,78, 3 6400.0,  0.5,
,79, 3 6200.0,  0.5,
,80, 3 1900.0,  0.4,
,81, 3 0500.0,  0.4,
,82, 3 2500.0,  0.4,
,83, 3 1900.0,  0.4,
,84, 3 2500.0,  0.4,
,>= 85, 23 3000.0,  3.2,
,All age, 729 1600.0,  100.0,
,,,,
,,,,
Note(s) :,,,,
"The figures from 1961 to 1995 are compiled based on the ""extended de facto"" method and those from 1996 onwards are compiled based on the ""resident population"" method.",,,,
p Provisional figure,,,,
,,,,
Source :,,,,
"Demographic Statistics Section (1),",,,,
Census and Statistics Department,,,,
(Enquiry telephone no. : 3903 6943,,,,
Enquiry e-mail : population@censtatd.gov.hk),,,,
,,,,
"Release Date: 11 August, 2022",,,,
